Iteration ID,Method,Data Tranferred (GB),Time (sec),Throughput (Mbps),Fixed probing [Thread]
06_19_2024_15_14_05,probe,1.966,24.001,671.03,1
06_19_2024_15_14_38,probe,1.966,23.976,671.73,1
06_19_2024_15_15_10,probe,1.966,24.184,665.96,1
06_19_2024_15_15_43,probe,1.966,23.966,672.01,1
06_19_2024_15_16_16,probe,1.966,24.053,669.58,1
06_19_2024_15_16_48,probe,1.966,24.031,670.2,1
06_19_2024_15_17_21,probe,1.966,24.17,666.34,1
06_19_2024_15_17_54,probe,1.966,24.072,669.05,1
06_19_2024_15_18_26,probe,1.966,24.24,664.42,1
06_19_2024_15_18_59,probe,1.966,24.051,669.64,1
